SurveyResponseKey,TicketKey,SurveyResponseDate,AgentCourtesyRating,ResolutionQualityRating,WaitTimeRating,FirstContactResolution,NPS_Score,CustomerComment,ResponseTimeHours
2766,5207,2026-06-18,3,4,3,0,4,The agent was fine but I had to wait.,42.23
2767,5208,2025-12-24,4,4,3,0,0,"Support was okay, nothing exceptional.",1.7
2768,5210,2025-04-23,5,4,4,1,5,Quick response and clear explanation.,40.96
2769,5212,2026-01-17,5,5,4,1,10,Quick response and clear explanation.,45.21
2770,5215,2025-04-29,3,4,3,1,2,Average experience overall.,31.06
2771,5217,2025-01-11,4,4,3,1,10,"Polite and knowledgeable support, thank you.",4.03
2772,5218,2025-10-22,4,3,3,1,6,Quick response and clear explanation.,14.17
2773,5219,2026-06-18,4,3,4,1,3,"Great service, very professional and helpful.",31.41
2774,5220,2025-11-12,4,4,4,0,5,"Polite and knowledgeable support, thank you.",23.11
2775,5222,2026-02-13,3,4,3,1,5,Issue was resolved but it took a while.,13.01
2776,5224,2025-05-11,3,3,3,0,6,"Great service, very professional and helpful.",22.24
2777,5225,2026-05-25,3,4,3,1,5,Got what I needed eventually.,29.32
2778,5227,2025-02-28,3,4,5,0,6,"Great service, very professional and helpful.",31.83
2779,5228,2025-09-28,5,4,3,1,10,Quick response and clear explanation.,31.87
2780,5230,2025-10-25,5,4,4,1,4,Agent was friendly and solved my issue quickly.,14.83
2781,5236,2025-01-04,3,2,2,1,5,Issue was resolved but it took a while.,9.91
2782,5237,2025-09-18,5,5,4,1,8,"Polite and knowledgeable support, thank you.",21.51
2783,5239,2025-09-09,3,5,4,1,6,Quick response and clear explanation.,11.18
2784,5240,2025-07-05,4,4,3,1,7,"Polite and knowledgeable support, thank you.",22.06
2785,5242,2025-06-20,4,4,2,1,4,Got what I needed eventually.,5.89
2786,5244,2026-04-30,5,5,5,1,8,"Resolved on the first call, very satisfied.",21.3
2787,5246,2025-06-03,4,5,4,1,7,"Resolved on the first call, very satisfied.",27.76
2788,5248,2026-03-06,4,5,3,1,3,"Polite and knowledgeable support, thank you.",17.97
2789,5252,2026-03-03,4,4,5,1,5,"Great service, very professional and helpful.",24.47
2790,5253,2025-07-12,5,5,4,1,8,Agent was friendly and solved my issue quickly.,34.71
2791,5254,2026-01-03,5,5,3,1,4,Quick response and clear explanation.,18.68
2792,5255,2026-02-20,4,5,3,1,6,Agent was friendly and solved my issue quickly.,16.26
2793,5257,2025-05-28,5,3,5,0,8,"Resolved on the first call, very satisfied.",48.87
2794,5259,2025-01-17,2,5,4,1,6,Agent was friendly and solved my issue quickly.,16.94
2795,5260,2025-08-14,4,2,2,0,3,The agent was fine but I had to wait.,30.76
2796,5261,2026-01-31,4,3,4,1,3,"Great service, very professional and helpful.",48.6
2797,5262,2025-02-21,5,5,5,1,10,"Polite and knowledgeable support, thank you.",17.68
2798,5265,2025-05-30,3,2,2,1,5,Issue was resolved but it took a while.,37.83
2799,5266,2025-05-10,5,5,5,1,9,"Polite and knowledgeable support, thank you.",0.47
2800,5267,2025-11-14,5,3,3,1,7,"Polite and knowledgeable support, thank you.",24.13
2801,5268,2025-04-22,4,4,3,1,5,Quick response and clear explanation.,50.16
2802,5269,2026-07-31,5,5,4,1,10,Quick response and clear explanation.,14.07
2803,5270,2025-11-07,4,4,5,1,9,"Resolved on the first call, very satisfied.",2.93
2804,5271,2026-05-14,1,1,2,1,0,Had to contact you multiple times for the same issue.,47.61
2805,5275,2025-01-07,3,3,3,0,6,Got what I needed eventually.,13.14
2806,5279,2026-04-19,3,2,2,1,0,Had to contact you multiple times for the same issue.,88.31
2807,5280,2026-03-01,5,5,3,0,8,Quick response and clear explanation.,33.24
2808,5282,2025-07-23,5,5,3,1,6,"Polite and knowledgeable support, thank you.",1.39
2809,5283,2026-04-28,5,4,5,1,5,"Polite and knowledgeable support, thank you.",22.07
2810,5286,2026-07-09,4,4,4,1,6,"Great service, very professional and helpful.",13.96
2811,5287,2025-11-20,5,5,5,1,8,"Great service, very professional and helpful.",19.4
2812,5289,2026-04-04,5,4,4,1,8,Quick response and clear explanation.,29.28
2813,5290,2025-04-24,4,4,3,1,8,Agent was friendly and solved my issue quickly.,39.54
2814,5294,2026-03-07,4,3,5,1,8,Quick response and clear explanation.,48.57
2815,5295,2025-10-28,3,3,3,1,3,Average experience overall.,39.88
2816,5298,2026-04-13,3,4,3,1,8,Issue was resolved but it took a while.,31.76
2817,5300,2025-04-21,3,4,4,1,2,"Support was okay, nothing exceptional.",16.39
2818,5304,2025-10-18,5,5,3,1,4,"Polite and knowledgeable support, thank you.",27.77
2819,5305,2025-03-06,5,5,5,1,8,Agent was friendly and solved my issue quickly.,1.03
2820,5307,2025-08-11,3,3,2,0,1,"Support was okay, nothing exceptional.",13.11
2821,5308,2026-04-24,4,4,4,1,7,"Resolved on the first call, very satisfied.",19.83
2822,5313,2025-10-13,2,2,2,1,3,Average experience overall.,39.08
2823,5316,2026-01-15,2,3,1,1,2,The problem was not resolved and no follow-up.,21.37
2824,5319,2025-12-30,3,5,4,0,3,"Polite and knowledgeable support, thank you.",20.23
2825,5320,2026-01-09,4,3,2,1,6,Issue was resolved but it took a while.,24.92
2826,5321,2025-05-30,4,4,4,1,6,Agent was friendly and solved my issue quickly.,50.44
2827,5323,2026-01-17,4,3,2,1,6,The agent was fine but I had to wait.,34.11
2828,5324,2025-10-30,5,3,3,1,5,"Polite and knowledgeable support, thank you.",53.69
2829,5327,2026-03-11,5,4,4,1,7,"Great service, very professional and helpful.",32.91
2830,5329,2025-07-20,5,5,5,1,8,"Resolved on the first call, very satisfied.",9.31
2831,5331,2026-08-07,5,5,5,1,9,Agent was friendly and solved my issue quickly.,15.3
2832,5332,2025-01-30,5,5,3,1,7,"Polite and knowledgeable support, thank you.",33.44
2833,5333,2026-05-08,5,4,3,1,4,"Great service, very professional and helpful.",10.51
2834,5337,2025-09-27,3,2,2,1,4,"Support was okay, nothing exceptional.",38.67
2835,5338,2026-06-20,4,5,4,1,6,"Great service, very professional and helpful.",36.48
2836,5341,2026-01-08,5,5,5,1,4,"Great service, very professional and helpful.",33.5
2837,5343,2025-03-02,5,5,4,1,9,"Great service, very professional and helpful.",26.04
2838,5350,2026-05-18,4,4,4,1,2,"Resolved on the first call, very satisfied.",15.88
2839,5353,2025-08-03,4,4,3,1,3,The agent was fine but I had to wait.,16.52
2840,5354,2025-10-29,3,3,2,1,4,The agent was fine but I had to wait.,25.6
2841,5355,2026-05-25,5,5,5,1,10,Agent was friendly and solved my issue quickly.,11.89
2842,5356,2026-02-28,3,3,5,1,6,Quick response and clear explanation.,0.81
2843,5361,2025-06-13,4,2,1,1,5,"Very frustrating experience, poor communication.",23.92
2844,5362,2025-10-19,4,2,4,1,7,"Resolved on the first call, very satisfied.",31.63
2845,5363,2025-04-12,3,4,4,1,4,The agent was fine but I had to wait.,40.05
2846,5364,2025-12-04,3,3,3,1,0,Average experience overall.,24.56
2847,5365,2025-12-08,3,4,2,1,2,The agent was fine but I had to wait.,47.49
2848,5368,2025-11-09,5,5,4,1,7,Quick response and clear explanation.,28.16
2849,5369,2025-01-29,5,4,4,1,7,"Polite and knowledgeable support, thank you.",27.81
2850,5370,2025-11-28,5,5,5,1,8,"Resolved on the first call, very satisfied.",15.81
2851,5371,2026-01-08,5,5,5,1,6,"Polite and knowledgeable support, thank you.",5.7
2852,5372,2025-10-09,5,5,5,1,8,"Great service, very professional and helpful.",24.84
2853,5373,2026-07-15,2,4,2,0,3,Issue was resolved but it took a while.,32.25
2854,5376,2026-02-17,5,5,5,1,6,Quick response and clear explanation.,24.01
2855,5378,2026-05-13,5,5,4,1,8,"Polite and knowledgeable support, thank you.",6.79
2856,5379,2025-04-26,3,2,2,1,5,Issue was resolved but it took a while.,45.5
2857,5380,2025-07-03,5,3,4,1,6,"Great service, very professional and helpful.",18.73
2858,5381,2025-09-27,3,4,1,0,2,Average experience overall.,48.16
2859,5383,2026-01-06,5,5,5,1,10,"Polite and knowledgeable support, thank you.",40.58
2860,5384,2026-05-27,3,3,2,0,4,Got what I needed eventually.,43.63
2861,5385,2025-08-28,4,4,3,1,3,"Support was okay, nothing exceptional.",35.46
2862,5387,2026-05-19,5,5,4,0,6,"Resolved on the first call, very satisfied.",32.89
2863,5390,2025-12-30,5,4,5,1,5,"Great service, very professional and helpful.",21.5
2864,5392,2025-10-11,4,4,3,1,7,"Resolved on the first call, very satisfied.",50.96
2865,5394,2026-05-02,3,3,3,0,2,Got what I needed eventually.,36.64
2866,5397,2025-02-25,5,5,4,0,5,"Resolved on the first call, very satisfied.",0.53
2867,5403,2025-09-15,2,3,2,1,7,"Support was okay, nothing exceptional.",13.08
2868,5404,2025-12-01,5,5,4,1,5,"Great service, very professional and helpful.",12.46
2869,5406,2025-11-24,3,3,3,1,2,"Polite and knowledgeable support, thank you.",23.44
2870,5407,2025-06-10,4,3,2,1,3,"Support was okay, nothing exceptional.",31.24
2871,5415,2025-03-06,4,3,4,1,6,The agent was fine but I had to wait.,39.28
2872,5416,2025-04-15,4,5,4,1,9,"Great service, very professional and helpful.",12.2
2873,5417,2025-01-06,3,2,2,1,5,The agent was fine but I had to wait.,26.95
2874,5418,2025-11-14,4,3,4,1,6,"Resolved on the first call, very satisfied.",26.55
2875,5420,2025-02-06,4,5,5,1,4,"Polite and knowledgeable support, thank you.",75.98
2876,5421,2025-05-19,5,4,3,0,8,Agent was friendly and solved my issue quickly.,44.13
2877,5428,2025-05-02,4,1,3,0,3,Got what I needed eventually.,22.0
2878,5430,2026-07-17,5,4,3,1,7,Quick response and clear explanation.,15.51
2879,5431,2025-03-19,4,4,5,1,7,"Great service, very professional and helpful.",30.19
2880,5433,2025-03-31,3,2,4,1,3,"Support was okay, nothing exceptional.",7.71
2881,5434,2026-07-28,5,4,4,1,6,Agent was friendly and solved my issue quickly.,20.8
2882,5435,2025-12-14,5,5,5,1,7,Agent was friendly and solved my issue quickly.,37.59
2883,5436,2025-02-26,5,4,5,1,9,Agent was friendly and solved my issue quickly.,35.55
2884,5437,2025-06-15,5,3,3,1,7,"Polite and knowledgeable support, thank you.",51.1
2885,5438,2026-05-22,2,4,1,0,5,Average experience overall.,41.97
2886,5441,2025-07-14,4,2,4,1,3,Issue was resolved but it took a while.,15.14
2887,5442,2025-05-08,4,3,5,1,5,The agent was fine but I had to wait.,14.48
2888,5443,2025-11-24,5,4,4,1,5,"Great service, very professional and helpful.",20.43
2889,5447,2025-03-04,4,4,5,1,9,"Polite and knowledgeable support, thank you.",36.94
2890,5448,2026-05-25,5,5,5,1,8,Quick response and clear explanation.,43.08
2891,5449,2025-11-23,5,5,5,1,7,"Polite and knowledgeable support, thank you.",12.13
2892,5451,2025-10-19,3,3,2,1,3,Issue was resolved but it took a while.,13.21
2893,5452,2026-03-29,5,4,5,1,9,"Great service, very professional and helpful.",42.04
2894,5453,2026-01-31,4,3,3,0,10,"Polite and knowledgeable support, thank you.",26.18
2895,5455,2025-04-24,4,4,2,1,7,"Polite and knowledgeable support, thank you.",21.88
2896,5459,2025-08-30,4,5,3,1,8,"Great service, very professional and helpful.",9.6
2897,5461,2026-04-01,4,3,3,1,6,Agent was friendly and solved my issue quickly.,22.36
2898,5462,2026-02-15,4,4,4,0,7,"Resolved on the first call, very satisfied.",35.9
2899,5464,2025-05-02,5,4,4,1,10,"Polite and knowledgeable support, thank you.",17.24
2900,5466,2025-10-05,2,2,1,0,3,The agent was fine but I had to wait.,28.28
2901,5467,2025-04-24,5,5,4,1,6,"Resolved on the first call, very satisfied.",8.01
2902,5468,2025-06-05,5,3,3,1,6,"Resolved on the first call, very satisfied.",39.0
2903,5471,2025-06-13,5,4,5,1,10,"Resolved on the first call, very satisfied.",41.65
2904,5473,2025-10-30,5,3,4,1,7,Agent was friendly and solved my issue quickly.,29.8
2905,5476,2026-04-07,3,3,4,1,4,Issue was resolved but it took a while.,24.49
2906,5478,2026-03-20,5,5,4,1,8,Agent was friendly and solved my issue quickly.,22.56
2907,5480,2025-03-15,4,5,5,1,8,Quick response and clear explanation.,35.31
2908,5482,2025-09-11,5,3,2,0,3,"Great service, very professional and helpful.",3.52
2909,5483,2026-06-20,3,4,3,1,6,Average experience overall.,29.93
2910,5484,2025-09-22,5,5,4,1,8,"Polite and knowledgeable support, thank you.",11.29
2911,5486,2025-11-08,2,3,2,1,2,Agent was not helpful and seemed rushed.,65.42
2912,5488,2025-06-18,4,3,5,1,5,Quick response and clear explanation.,34.35
2913,5491,2025-04-14,5,5,5,1,5,"Polite and knowledgeable support, thank you.",22.23
2914,5492,2025-03-14,4,5,4,1,7,Agent was friendly and solved my issue quickly.,25.09
2915,5493,2025-03-08,3,3,4,1,7,"Support was okay, nothing exceptional.",7.39
2916,5495,2025-09-30,3,3,4,1,4,"Great service, very professional and helpful.",6.58
2917,5499,2025-04-24,5,4,3,1,5,Quick response and clear explanation.,26.43
2918,5500,2026-01-28,5,5,5,1,7,Quick response and clear explanation.,23.17
2919,5501,2025-11-07,3,2,2,1,2,The problem was not resolved and no follow-up.,52.59
2920,5502,2025-10-20,3,3,2,0,3,Average experience overall.,0.79
2921,5503,2026-05-12,3,4,4,1,8,"Support was okay, nothing exceptional.",26.05
2922,5506,2025-08-03,3,3,3,0,6,Average experience overall.,6.68
2923,5515,2026-03-14,5,3,5,1,7,"Support was okay, nothing exceptional.",49.72
2924,5516,2025-05-27,3,2,2,1,2,"Support was okay, nothing exceptional.",31.11
2925,5517,2025-04-17,4,4,3,1,8,"Resolved on the first call, very satisfied.",6.05
2926,5518,2026-01-22,2,2,1,0,0,Waited far too long and the problem is still not fixed.,36.43
2927,5520,2026-01-28,4,5,5,1,10,"Polite and knowledgeable support, thank you.",32.79
2928,5524,2026-03-26,5,5,4,1,8,"Great service, very professional and helpful.",6.32
2929,5525,2026-04-23,1,3,2,1,4,The problem was not resolved and no follow-up.,34.78
2930,5527,2025-04-12,3,4,5,1,3,"Great service, very professional and helpful.",44.55
2931,5528,2025-07-22,4,2,3,1,3,"Support was okay, nothing exceptional.",1.13
2932,5533,2026-06-14,5,5,4,1,5,"Resolved on the first call, very satisfied.",25.53
2933,5538,2025-05-11,5,3,3,0,3,Issue was resolved but it took a while.,28.59
2934,5542,2026-03-14,4,4,3,0,4,Quick response and clear explanation.,37.67
2935,5544,2025-08-28,5,5,3,1,6,Quick response and clear explanation.,2.01
2936,5545,2026-03-29,5,5,5,0,7,"Resolved on the first call, very satisfied.",23.43
2937,5548,2025-08-13,4,4,3,1,5,"Polite and knowledgeable support, thank you.",8.57
2938,5549,2026-03-07,3,2,2,1,3,Agent was not helpful and seemed rushed.,25.29
2939,5550,2025-03-23,5,4,3,1,4,Average experience overall.,4.67
2940,5551,2025-01-28,4,1,2,1,3,"Support was okay, nothing exceptional.",11.3
2941,5553,2025-02-21,5,3,4,1,7,Agent was friendly and solved my issue quickly.,4.33
2942,5557,2025-05-19,5,5,5,1,7,"Polite and knowledgeable support, thank you.",14.31
2943,5558,2025-10-02,3,2,2,0,6,Got what I needed eventually.,14.4
2944,5561,2025-07-03,3,5,4,1,8,Quick response and clear explanation.,41.92
2945,5562,2026-05-24,2,4,2,1,4,Got what I needed eventually.,50.31
2946,5564,2025-05-25,4,5,5,1,8,"Polite and knowledgeable support, thank you.",9.83
2947,5570,2025-07-16,2,4,2,0,4,The agent was fine but I had to wait.,7.86
2948,5571,2025-07-03,4,4,5,1,4,"Great service, very professional and helpful.",18.7
2949,5575,2025-11-01,5,5,4,1,8,"Resolved on the first call, very satisfied.",13.85
2950,5577,2026-03-11,3,4,3,1,4,Average experience overall.,55.23
2951,5579,2025-04-06,5,5,5,0,9,"Resolved on the first call, very satisfied.",2.25
2952,5583,2025-06-16,5,5,5,1,9,Agent was friendly and solved my issue quickly.,8.03
2953,5584,2025-01-13,5,5,5,1,10,Quick response and clear explanation.,27.86
2954,5586,2026-06-10,5,4,3,0,5,Quick response and clear explanation.,24.87
2955,5587,2026-07-23,2,2,2,1,0,Average experience overall.,20.24
2956,5588,2025-10-22,4,3,3,1,5,Agent was friendly and solved my issue quickly.,0.89
2957,5591,2025-09-05,4,5,4,1,6,"Polite and knowledgeable support, thank you.",25.2
2958,5592,2026-04-01,5,5,3,1,9,Quick response and clear explanation.,3.03
2959,5595,2026-04-18,4,2,3,1,5,"Support was okay, nothing exceptional.",11.44
2960,5596,2025-07-28,4,4,5,1,3,"Polite and knowledgeable support, thank you.",13.31
2961,5600,2025-02-03,3,2,2,1,4,Got what I needed eventually.,16.86
2962,5602,2026-03-28,3,3,1,0,5,The agent was fine but I had to wait.,1.68
2963,5606,2025-10-16,5,5,5,1,7,"Polite and knowledgeable support, thank you.",13.76
2964,5607,2026-02-25,3,3,1,1,1,"Very frustrating experience, poor communication.",21.91
2965,5608,2026-04-26,4,4,4,1,6,"Polite and knowledgeable support, thank you.",15.84
2966,5609,2026-04-23,5,4,2,1,6,"Polite and knowledgeable support, thank you.",32.57
2967,5610,2025-01-12,2,2,3,1,2,Waited far too long and the problem is still not fixed.,49.24
2968,5611,2025-11-20,3,3,4,1,7,The agent was fine but I had to wait.,28.64
2969,5612,2025-12-22,5,4,3,1,6,Quick response and clear explanation.,17.5
2970,5613,2026-08-04,4,5,4,1,8,Agent was friendly and solved my issue quickly.,5.11
2971,5616,2026-04-29,4,2,2,0,4,Issue was resolved but it took a while.,18.3
2972,5620,2025-09-21,5,5,4,1,9,"Resolved on the first call, very satisfied.",7.57
2973,5621,2025-03-29,3,2,3,1,3,Got what I needed eventually.,35.73
2974,5622,2025-07-23,4,2,3,1,4,Issue was resolved but it took a while.,9.56
2975,5623,2025-12-26,4,4,5,1,8,Quick response and clear explanation.,18.4
2976,5624,2025-04-27,5,4,4,1,5,Quick response and clear explanation.,15.62
2977,5625,2025-07-17,5,5,3,1,8,"Polite and knowledgeable support, thank you.",44.48
2978,5626,2026-07-15,4,2,4,1,6,"Support was okay, nothing exceptional.",32.0
2979,5627,2025-08-29,5,4,3,1,4,"Great service, very professional and helpful.",9.51
2980,5629,2026-02-24,5,4,4,1,9,"Great service, very professional and helpful.",31.5
2981,5630,2026-07-21,3,4,4,1,4,"Polite and knowledgeable support, thank you.",15.68
2982,5632,2026-04-15,3,3,5,1,6,"Great service, very professional and helpful.",7.0
2983,5633,2025-01-08,4,4,4,1,5,Quick response and clear explanation.,6.26
2984,5634,2025-08-16,2,2,3,0,4,Got what I needed eventually.,8.76
2985,5636,2025-09-14,4,5,4,1,5,"Great service, very professional and helpful.",26.5
2986,5637,2025-12-01,4,4,3,1,4,"Great service, very professional and helpful.",8.42
2987,5639,2025-09-18,4,5,5,1,9,Agent was friendly and solved my issue quickly.,14.29
2988,5640,2026-03-06,5,5,4,1,7,"Resolved on the first call, very satisfied.",30.1
2989,5641,2026-07-07,5,5,4,1,7,"Great service, very professional and helpful.",38.48
2990,5642,2026-02-03,5,5,5,1,10,"Polite and knowledgeable support, thank you.",45.91
2991,5643,2026-02-22,5,4,3,1,5,"Great service, very professional and helpful.",43.28
2992,5644,2026-01-06,3,2,2,1,3,Average experience overall.,1.29
2993,5645,2025-02-25,2,2,2,0,3,Waited far too long and the problem is still not fixed.,33.2
2994,5648,2025-04-29,1,2,3,1,5,The agent was fine but I had to wait.,7.04
2995,5650,2026-07-23,4,4,2,1,4,The agent was fine but I had to wait.,30.1
2996,5652,2025-05-18,3,4,3,0,4,Quick response and clear explanation.,34.02
2997,5653,2025-04-23,5,5,4,1,7,Agent was friendly and solved my issue quickly.,25.93
2998,5654,2025-12-12,5,5,4,1,9,"Resolved on the first call, very satisfied.",13.28
2999,5655,2025-07-23,5,5,5,1,2,"Resolved on the first call, very satisfied.",25.04
3000,5656,2025-11-02,4,3,4,0,3,Agent was friendly and solved my issue quickly.,19.62
3001,5660,2025-10-08,5,5,5,1,5,"Resolved on the first call, very satisfied.",19.27
3002,5664,2026-03-14,5,3,4,1,7,"Polite and knowledgeable support, thank you.",21.63
3003,5665,2025-12-01,5,4,3,1,5,"Polite and knowledgeable support, thank you.",15.47
3004,5667,2026-05-04,5,5,5,1,9,"Resolved on the first call, very satisfied.",26.57
3005,5668,2025-01-18,4,3,2,1,4,"Support was okay, nothing exceptional.",7.73
3006,5669,2025-11-17,5,4,4,1,7,"Great service, very professional and helpful.",18.05
3007,5673,2025-11-20,5,5,5,1,8,Quick response and clear explanation.,75.57
3008,5675,2025-02-26,4,3,3,1,5,Agent was friendly and solved my issue quickly.,35.46
3009,5676,2025-08-01,5,5,5,1,8,Quick response and clear explanation.,13.65
3010,5677,2025-02-17,4,3,4,1,4,Quick response and clear explanation.,19.8
3011,5680,2026-01-25,4,2,2,0,2,Got what I needed eventually.,35.54
3012,5682,2025-04-05,4,5,5,1,9,"Great service, very professional and helpful.",27.98
3013,5686,2025-11-26,5,4,5,0,3,Quick response and clear explanation.,6.06
3014,5687,2026-06-13,5,3,1,0,7,"Great service, very professional and helpful.",24.68
3015,5688,2025-12-25,3,2,3,1,4,Agent was friendly and solved my issue quickly.,36.27
3016,5689,2026-06-15,2,1,2,0,1,"Very frustrating experience, poor communication.",27.82
3017,5690,2026-06-10,2,2,3,1,8,"Support was okay, nothing exceptional.",53.46
3018,5691,2026-06-04,5,4,3,1,4,"Great service, very professional and helpful.",15.09
3019,5692,2026-01-17,5,5,5,1,6,"Great service, very professional and helpful.",12.62
3020,5693,2025-12-28,5,5,5,1,10,"Great service, very professional and helpful.",8.8
3021,5694,2026-08-14,4,3,4,0,6,Agent was friendly and solved my issue quickly.,15.19
3022,5696,2025-07-06,5,3,3,1,4,Quick response and clear explanation.,46.75
3023,5697,2025-08-19,5,3,5,1,7,Agent was friendly and solved my issue quickly.,2.27
3024,5698,2025-05-19,3,5,1,1,3,Got what I needed eventually.,16.8
3025,5703,2026-08-07,4,4,3,1,4,"Resolved on the first call, very satisfied.",29.14
3026,5709,2025-10-25,3,3,2,1,4,The agent was fine but I had to wait.,15.75
3027,5712,2026-01-31,3,3,3,0,7,Issue was resolved but it took a while.,9.42
3028,5713,2025-09-19,3,3,3,1,7,The agent was fine but I had to wait.,4.39
3029,5715,2025-05-29,4,3,4,1,6,Quick response and clear explanation.,19.11
3030,5717,2025-10-13,5,5,5,1,5,Quick response and clear explanation.,12.81
3031,5721,2026-05-09,2,3,3,0,3,The agent was fine but I had to wait.,40.99
3032,5723,2026-08-15,5,5,4,1,9,Agent was friendly and solved my issue quickly.,42.05
3033,5724,2025-01-29,5,5,4,1,7,"Great service, very professional and helpful.",37.72
3034,5725,2025-12-14,4,4,2,1,3,"Great service, very professional and helpful.",1.04
3035,5727,2026-07-07,5,4,5,1,6,Agent was friendly and solved my issue quickly.,62.04
3036,5729,2025-08-08,4,4,4,1,10,"Resolved on the first call, very satisfied.",17.86
3037,5730,2025-01-03,3,3,2,0,3,Got what I needed eventually.,5.47
3038,5732,2025-09-04,4,2,4,1,3,Issue was resolved but it took a while.,5.39
3039,5735,2026-03-21,5,5,4,1,8,Agent was friendly and solved my issue quickly.,32.18
3040,5739,2025-11-15,4,2,4,1,7,The agent was fine but I had to wait.,22.66
3041,5740,2026-02-24,5,5,5,1,6,"Resolved on the first call, very satisfied.",47.58
3042,5743,2025-01-16,3,2,1,1,2,Agent was not helpful and seemed rushed.,23.95
3043,5744,2025-01-19,3,4,1,1,2,Got what I needed eventually.,29.31
3044,5745,2026-04-22,3,2,2,1,3,The problem was not resolved and no follow-up.,2.53
3045,5748,2025-05-19,4,3,4,1,3,"Great service, very professional and helpful.",19.42
3046,5751,2025-05-09,5,3,5,1,7,"Great service, very professional and helpful.",41.35
3047,5756,2025-03-17,5,5,5,1,9,"Polite and knowledgeable support, thank you.",51.56
3048,5757,2026-01-08,5,4,4,1,8,"Resolved on the first call, very satisfied.",7.41
3049,5758,2025-06-08,4,5,3,1,8,"Resolved on the first call, very satisfied.",22.48
3050,5759,2026-01-05,4,4,4,0,8,Quick response and clear explanation.,50.2
3051,5760,2025-09-10,5,2,4,0,4,Issue was resolved but it took a while.,54.75
3052,5761,2025-09-11,5,3,5,1,7,"Resolved on the first call, very satisfied.",31.79
3053,5762,2025-11-10,4,2,2,1,5,Issue was resolved but it took a while.,12.76
3054,5768,2025-10-19,5,5,5,1,10,Quick response and clear explanation.,3.24
3055,5770,2026-02-24,4,3,3,1,7,"Polite and knowledgeable support, thank you.",6.78
3056,5771,2026-03-16,5,3,5,1,10,"Polite and knowledgeable support, thank you.",2.24
3057,5772,2025-10-31,5,5,4,1,8,"Resolved on the first call, very satisfied.",26.01
3058,5778,2026-01-30,4,5,5,1,7,"Resolved on the first call, very satisfied.",30.86
3059,5779,2026-06-09,4,3,4,1,6,"Great service, very professional and helpful.",18.13
3060,5781,2026-07-25,5,4,3,1,10,Quick response and clear explanation.,9.69
3061,5782,2026-06-30,5,5,5,1,7,"Polite and knowledgeable support, thank you.",5.12
3062,5785,2025-08-30,4,5,4,1,10,"Resolved on the first call, very satisfied.",45.64
3063,5789,2025-01-08,2,3,1,0,2,"Support was okay, nothing exceptional.",56.54
3064,5790,2026-07-10,5,5,5,1,7,"Polite and knowledgeable support, thank you.",49.44
3065,5791,2026-06-20,4,4,3,0,2,"Support was okay, nothing exceptional.",3.3
3066,5792,2025-02-28,2,3,3,0,6,Average experience overall.,4.25
3067,5793,2026-08-10,5,5,5,1,7,Quick response and clear explanation.,30.1
3068,5795,2025-01-31,5,5,5,1,8,"Resolved on the first call, very satisfied.",23.45
3069,5796,2025-05-19,3,3,4,1,2,Average experience overall.,13.95
3070,5799,2026-02-06,3,2,2,1,5,Agent was not helpful and seemed rushed.,14.2
3071,5800,2026-05-23,4,4,3,1,5,"Great service, very professional and helpful.",3.07
3072,5801,2026-03-12,3,1,1,1,2,"Very frustrating experience, poor communication.",43.33
3073,5802,2026-04-19,2,1,3,0,3,Had to contact you multiple times for the same issue.,35.74
3074,5803,2026-06-12,4,4,3,1,7,"Polite and knowledgeable support, thank you.",34.42
3075,5804,2025-07-30,3,3,1,0,1,Got what I needed eventually.,2.27
3076,5808,2025-02-18,2,3,2,0,6,"Support was okay, nothing exceptional.",0.32
3077,5812,2026-03-01,5,3,3,1,6,"Great service, very professional and helpful.",53.91
3078,5813,2026-01-04,4,2,3,1,4,Average experience overall.,34.48
3079,5814,2025-05-23,4,5,3,1,6,"Great service, very professional and helpful.",15.94
3080,5815,2025-12-14,5,5,5,1,10,Quick response and clear explanation.,30.02
3081,5819,2025-03-19,4,2,2,1,6,"Support was okay, nothing exceptional.",20.71
3082,5820,2025-07-11,5,5,4,1,5,"Great service, very professional and helpful.",36.57
3083,5829,2026-04-08,2,5,2,1,3,"Resolved on the first call, very satisfied.",69.41
3084,5831,2026-04-17,4,5,3,1,7,"Resolved on the first call, very satisfied.",29.22
3085,5832,2025-08-11,4,3,3,1,6,"Polite and knowledgeable support, thank you.",5.21
3086,5836,2026-02-09,4,5,5,1,6,"Resolved on the first call, very satisfied.",4.63
3087,5837,2026-07-08,5,5,3,1,6,Quick response and clear explanation.,8.03
3088,5839,2026-02-09,4,5,5,1,6,"Polite and knowledgeable support, thank you.",38.41
3089,5842,2026-07-08,5,5,5,1,5,"Resolved on the first call, very satisfied.",10.79
3090,5843,2025-02-02,5,4,3,1,5,Agent was friendly and solved my issue quickly.,2.58
3091,5845,2025-03-09,3,3,2,1,5,"Support was okay, nothing exceptional.",20.61
3092,5846,2026-07-01,5,2,5,1,7,Agent was friendly and solved my issue quickly.,26.52
3093,5847,2025-02-25,3,3,2,1,7,Average experience overall.,17.66
3094,5848,2025-12-10,4,4,4,1,8,Agent was friendly and solved my issue quickly.,1.6
3095,5849,2025-06-10,3,3,4,0,4,The agent was fine but I had to wait.,38.68
3096,5850,2026-01-25,5,5,5,1,10,"Polite and knowledgeable support, thank you.",10.5
